symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned,IsFuelDiesel,IsFuelGas,std,turbo
3,122,alfa-romero,two,convertible,rwd,front,88.6,-0.4383150689245084,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,27,13495.0,Low,0,1,1,0
3,122,alfa-romero,two,convertible,rwd,front,88.6,-0.4383150689245084,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,27,16500.0,Low,0,1,1,0
1,122,alfa-romero,two,hatchback,rwd,front,94.5,-0.24354426084677908,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,12.368421052631579,26,16500.0,Medium,0,1,1,0
2,164,audi,four,sedan,fwd,front,99.8,0.1946900573281152,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,9.791666666666666,30,13950.0,Low,0,1,1,0
2,164,audi,four,sedan,4wd,front,99.4,0.1946900573281152,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,13.055555555555555,22,17450.0,Low,0,1,1,0
2,122,audi,two,sedan,fwd,front,99.8,0.25149820968412145,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,15250.0,Low,0,1,1,0
1,158,audi,four,sedan,fwd,front,105.8,1.5012775615162237,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,17710.0,Low,0,1,1,0
1,122,audi,four,wagon,fwd,front,105.8,1.5012775615162237,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,18920.0,Low,0,1,1,0
1,158,audi,four,sedan,fwd,front,105.8,1.5012775615162237,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,13.823529411764707,20,23875.0,Medium,0,1,0,1
2,192,bmw,two,sedan,rwd,front,101.2,0.21092095800126018,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,29,16430.0,Low,0,1,1,0
0,192,bmw,four,sedan,rwd,front,101.2,0.21092095800126018,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,29,16925.0,Low,0,1,1,0
0,188,bmw,two,sedan,rwd,front,101.2,0.21092095800126018,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,28,20970.0,Medium,0,1,1,0
0,188,bmw,four,sedan,rwd,front,101.2,0.21092095800126018,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,28,21105.0,Medium,0,1,1,0
1,122,bmw,four,sedan,rwd,front,103.5,1.2010058990630559,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,25,24565.0,Medium,0,1,1,0
0,122,bmw,four,sedan,rwd,front,103.5,1.2010058990630559,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,22,30760.0,Medium,0,1,1,0
0,122,bmw,two,sedan,rwd,front,103.5,1.5905475152185187,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,22,41315.0,Medium,0,1,1,0
0,122,bmw,four,sedan,rwd,front,110.0,1.8502419259888248,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15.666666666666666,20,36880.0,Medium,0,1,1,0
2,121,chevrolet,two,hatchback,fwd,front,88.4,-2.6862948121549843,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,5.0,53,5151.0,Low,0,1,1,0
1,98,chevrolet,two,hatchback,fwd,front,94.5,-1.4852081623423103,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,43,6295.0,Low,0,1,1,0
0,81,chevrolet,four,sedan,fwd,front,94.5,-1.24986010258172,63.6,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,43,6575.0,Low,0,1,1,0
1,118,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303014,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,6.351351351351352,41,5572.0,Low,0,1,1,0
1,118,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303014,63.8,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6377.0,Low,0,1,1,0
1,118,dodge,two,hatchback,fwd,front,93.7,-1.3715918576303014,63.8,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,7957.0,Low,0,1,0,1
1,148,dodge,four,hatchback,fwd,front,93.7,-1.3715918576303014,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6229.0,Low,0,1,1,0
1,148,dodge,four,sedan,fwd,front,93.7,-1.3715918576303014,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6692.0,Low,0,1,1,0
1,148,dodge,four,sedan,fwd,front,93.7,-1.3715918576303014,63.8,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,7609.0,Low,0,1,1,0
1,148,dodge,four,sedan,fwd,front,93.7,-1.3715918576303014,63.8,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,8558.0,Low,0,1,0,1
-1,110,dodge,four,wagon,fwd,front,103.3,0.03238105059667251,64.6,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,9.791666666666666,30,8921.0,Low,0,1,1,0
3,145,dodge,two,hatchback,fwd,front,95.9,-0.0812352541153382,66.3,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,12.368421052631579,24,12964.0,Medium,0,1,0,1
2,137,honda,two,hatchback,fwd,front,86.6,-2.4022540503749603,63.9,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,4.795918367346939,54,6479.0,Low,0,1,1,0
2,137,honda,two,hatchback,fwd,front,86.6,-2.4022540503749603,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.580645161290323,38,6855.0,Low,0,1,1,0
1,101,honda,two,hatchback,fwd,front,93.7,-1.9640197322000659,64.0,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,6.184210526315789,42,5399.0,Low,0,1,1,0
1,101,honda,two,hatchback,fwd,front,93.7,-1.9640197322000659,64.0,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,34,6529.0,Low,0,1,1,0
1,101,honda,two,hatchback,fwd,front,93.7,-1.9640197322000659,64.0,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,34,7129.0,Low,0,1,1,0
0,110,honda,four,sedan,fwd,front,96.5,-0.8765493870994027,64.0,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,34,7295.0,Low,0,1,1,0
0,78,honda,four,wagon,fwd,front,96.5,-1.3878227583034466,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,7.833333333333333,34,7295.0,Low,0,1,1,0
0,106,honda,two,hatchback,fwd,front,96.5,-0.5438159232999467,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,7895.0,Low,0,1,1,0
0,106,honda,two,hatchback,fwd,front,96.5,-0.5438159232999467,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,9095.0,Low,0,1,1,0
0,85,honda,four,sedan,fwd,front,96.5,0.09730465328924946,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,8845.0,Low,0,1,1,0
0,85,honda,four,sedan,fwd,front,96.5,0.09730465328924946,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,10295.0,Low,0,1,1,0
0,85,honda,four,sedan,fwd,front,96.5,0.09730465328924946,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,9.791666666666666,28,12945.0,Low,0,1,1,0
1,107,honda,two,sedan,fwd,front,96.5,-0.41396871791479456,66.0,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,9.4,31,10345.0,Low,0,1,1,0
0,122,isuzu,four,sedan,rwd,front,94.3,-0.28412151252964035,61.8,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,9.791666666666666,29,6785.0,Low,0,1,1,0
2,122,isuzu,two,hatchback,rwd,front,96.0,-0.12992795613477018,65.2,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,9.791666666666666,29,11048.0,Low,0,1,1,0
0,145,jaguar,four,sedan,rwd,front,113.0,2.061243634739699,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,19,32250.0,Medium,0,1,1,0
0,122,jaguar,four,sedan,rwd,front,113.0,2.061243634739699,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,19,35550.0,Medium,0,1,1,0
0,122,jaguar,two,sedan,rwd,front,102.0,1.4201230581505035,70.6,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,18.076923076923077,17,36000.0,High,0,1,1,0
1,104,mazda,two,hatchback,fwd,front,93.1,-1.225513751572004,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.833333333333333,31,5195.0,Low,0,1,1,0
1,104,mazda,two,hatchback,fwd,front,93.1,-1.225513751572004,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,38,6095.0,Low,0,1,1,0
1,104,mazda,two,hatchback,fwd,front,93.1,-1.225513751572004,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,38,6795.0,Low,0,1,1,0
1,113,mazda,four,sedan,fwd,front,93.1,-0.6006240756559511,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,38,6695.0,Low,0,1,1,0
1,113,mazda,four,sedan,fwd,front,93.1,-0.6006240756559511,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,7.580645161290323,38,7395.0,Low,0,1,1,0
3,150,mazda,two,hatchback,rwd,front,95.3,-0.42208416825136524,65.7,49.6,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,13.823529411764707,23,10945.0,Low,0,1,1,0
3,150,mazda,two,hatchback,rwd,front,95.3,-0.42208416825136524,65.7,49.6,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,13.823529411764707,23,11845.0,Low,0,1,1,0
3,150,mazda,two,hatchback,rwd,front,95.3,-0.42208416825136524,65.7,49.6,2385,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,13.823529411764707,23,13645.0,Low,0,1,1,0
3,150,mazda,two,hatchback,rwd,front,95.3,-0.42208416825136524,65.7,49.6,2500,rotor,two,80,mpfi,3.3297512437810957,3.2554228855721337,9.4,135,6000.0,14.6875,23,15645.0,Medium,0,1,1,0
1,129,mazda,two,hatchback,fwd,front,98.8,0.2920754613669809,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,8845.0,Low,0,1,1,0
0,115,mazda,four,sedan,fwd,front,98.8,0.2920754613669809,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,8495.0,Low,0,1,1,0
1,129,mazda,two,hatchback,fwd,front,98.8,0.2920754613669809,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,10595.0,Low,0,1,1,0
0,115,mazda,four,sedan,fwd,front,98.8,0.2920754613669809,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,10245.0,Low,0,1,1,0
0,122,mazda,four,sedan,fwd,front,98.8,0.2920754613669809,66.5,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,6.527777777777778,42,10795.0,Low,1,0,1,0
0,115,mazda,four,hatchback,fwd,front,98.8,0.2920754613669809,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,11245.0,Low,0,1,1,0
0,118,mazda,four,sedan,rwd,front,104.9,0.06484285194296129,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,12.368421052631579,27,18280.0,Medium,0,1,1,0
0,122,mazda,four,sedan,rwd,front,104.9,0.06484285194296129,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,7.580645161290323,39,18344.0,Low,1,0,1,0
-1,93,mercedes-benz,four,sedan,rwd,front,110.0,1.3551994554579279,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,25552.0,Medium,1,0,0,1
-1,93,mercedes-benz,four,wagon,rwd,front,110.0,1.3551994554579279,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,28248.0,Medium,1,0,0,1
0,93,mercedes-benz,two,hardtop,rwd,front,106.7,1.0792741440144744,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,28176.0,Medium,1,0,0,1
-1,93,mercedes-benz,four,sedan,rwd,front,115.6,2.3047071448368626,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,31600.0,Medium,1,0,0,1
-1,122,mercedes-benz,four,sedan,rwd,front,115.6,2.3047071448368626,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,18,34184.0,Medium,0,1,1,0
3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.49496171978128484,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,18,35056.0,Medium,0,1,1,0
0,122,mercedes-benz,four,sedan,rwd,front,120.9,2.751056913348329,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,16,40960.0,Medium,0,1,1,0
1,122,mercedes-benz,two,hardtop,rwd,front,112.0,2.028781833393411,72.0,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,16,45400.0,Medium,0,1,1,0
1,122,mercury,two,hatchback,rwd,front,102.7,0.3407681633864147,68.0,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,12.368421052631579,24,16503.0,Medium,0,1,0,1
2,161,mitsubishi,two,hatchback,fwd,front,93.7,-1.3715918576303014,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,6.351351351351352,41,5389.0,Low,0,1,1,0
2,161,mitsubishi,two,hatchback,fwd,front,93.7,-1.3715918576303014,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6189.0,Low,0,1,1,0
2,161,mitsubishi,two,hatchback,fwd,front,93.7,-1.3715918576303014,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6669.0,Low,0,1,1,0
1,161,mitsubishi,two,hatchback,fwd,front,93.0,-1.3715918576303014,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,7689.0,Low,0,1,0,1
3,153,mitsubishi,two,hatchback,fwd,front,96.3,-0.0974661547884817,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,30,9959.0,Low,0,1,0,1
3,153,mitsubishi,two,hatchback,fwd,front,96.3,-0.0974661547884817,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,32,8499.0,Low,0,1,1,0
3,122,mitsubishi,two,hatchback,fwd,front,95.9,-0.0812352541153382,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,12.368421052631579,24,12629.0,Medium,0,1,0,1
3,122,mitsubishi,two,hatchback,fwd,front,95.9,-0.0812352541153382,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,24,14869.0,Medium,0,1,0,1
3,122,mitsubishi,two,hatchback,fwd,front,95.9,-0.0812352541153382,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,24,14489.0,Medium,0,1,0,1
1,125,mitsubishi,four,sedan,fwd,front,96.3,-0.14615885680791366,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,32,6989.0,Low,0,1,1,0
1,125,mitsubishi,four,sedan,fwd,front,96.3,-0.14615885680791366,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,32,8189.0,Low,0,1,1,0
1,125,mitsubishi,four,sedan,fwd,front,96.3,-0.14615885680791366,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,30,9279.0,Low,0,1,0,1
-1,137,mitsubishi,four,sedan,fwd,front,96.3,-0.14615885680791366,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,30,9279.0,Low,0,1,1,0
1,128,nissan,two,sedan,fwd,front,94.5,-0.7223558307045328,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,5499.0,Low,0,1,1,0
1,128,nissan,two,sedan,fwd,front,94.5,-0.7223558307045328,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,5.222222222222222,50,7099.0,Low,1,0,1,0
1,128,nissan,two,sedan,fwd,front,94.5,-0.7223558307045328,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,6649.0,Low,0,1,1,0
1,122,nissan,four,sedan,fwd,front,94.5,-0.7223558307045328,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,6849.0,Low,0,1,1,0
1,103,nissan,four,wagon,fwd,front,94.5,-0.3246987642125013,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7349.0,Low,0,1,1,0
1,128,nissan,two,sedan,fwd,front,94.5,-0.7223558307045328,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7299.0,Low,0,1,1,0
1,128,nissan,two,hatchback,fwd,front,94.5,-0.6980094796948169,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7799.0,Low,0,1,1,0
1,122,nissan,four,sedan,fwd,front,94.5,-0.7223558307045328,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7499.0,Low,0,1,1,0
1,103,nissan,four,wagon,fwd,front,94.5,-0.3246987642125013,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7999.0,Low,0,1,1,0
2,168,nissan,two,hardtop,fwd,front,95.1,-0.957703890465123,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,8249.0,Low,0,1,1,0
0,106,nissan,four,hatchback,fwd,front,97.2,-0.0650043534421911,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,34,8949.0,Low,0,1,1,0
0,106,nissan,four,sedan,fwd,front,97.2,-0.0650043534421911,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,34,9549.0,Low,0,1,1,0
0,128,nissan,four,sedan,fwd,front,100.4,0.608578024493292,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,22,13499.0,Medium,0,1,1,0
